"Language Route","Language Route"
"Language Routes","Language Routes"
"Add Translation","Aggiungi traduzione"
"Save And Continue Edit","Salva e continua le modifiche"
"Save Translation","Salva traduzione"
"Delete Translation","Elimina traduzione"
"Type","Tipo"
"Value","Valore"
"Translation","Traduzione"
"Is Active","Attivata"
"Action","Azione"
"Route Part","Parte della URI"
"Original Value","Valore originario"
"Translation does not exist","La traduzione non esiste"
"Route","URI"
"Controller","Controller"
"Action","Azione"
"Enable route translation","Abilita le traduzione delle URI"
"Activates translation of routes by module language routes","Abilita la traduzione delle URI con il modulo \"language routes\""
"Forward to translated route","Redirigi alla URI tradotta"
"Forward the user to the translated rule when accessing old url","Redirigi l'utente alla URI tradotta se utilizza il vecchio URI non tradotto"
